program_slug,program_name,program_type,sponsor,allowed_insurance,max_income_pct_fpl,application_url,application_method,typical_benefit,fund_status,last_verified
entresto-copay,Entresto Copay Card,copay_card,Novartis,commercial,,https://www.entresto.com,online,as low as $10/mo for eligible commercial patients,unverified,
jardiance-copay,Jardiance Savings Card,copay_card,Boehringer Ingelheim,commercial,,https://www.jardiance.com,online,as low as $10/mo for eligible commercial patients,unverified,
farxiga-copay,Farxiga Savings Card,copay_card,AstraZeneca,commercial,,https://www.farxiga.com,online,as low as $0/mo for eligible commercial patients,unverified,
eliquis-copay,Eliquis Co-Pay Card,copay_card,Bristol Myers Squibb/Pfizer,commercial,,https://www.eliquis.com,online,as low as $10/mo for eligible commercial patients,unverified,
xarelto-copay,Xarelto Savings Card,copay_card,Johnson & Johnson,commercial,,https://www.xarelto-us.com,online,as low as $10/mo for eligible commercial patients,unverified,
verquvo-copay,Verquvo Savings Coupon,copay_card,Merck,commercial,,https://www.verquvo.com,online,reduced copay for eligible commercial patients,unverified,
novartis-pap,Novartis Patient Assistance Foundation,pap,Novartis,medicare|uninsured,400,https://www.novartis.com/us-en/patient-assistance,provider_initiated,free drug for eligible patients typically up to 12 months,unverified,
bi-cares,BI Cares Patient Assistance Program,pap,Boehringer Ingelheim,medicare|uninsured,400,https://www.boehringer-ingelheim.com/us,provider_initiated,free drug for eligible patients,unverified,
azme,AZ&Me Prescription Savings Program,pap,AstraZeneca,medicare|uninsured,300,https://www.azandmeapp.com,online,free drug for eligible patients,unverified,
bms-paf,BMS Patient Assistance Foundation,pap,Bristol Myers Squibb,medicare|uninsured,300,https://www.bmspaf.org,provider_initiated,free drug for eligible patients,unverified,
jj-paf,Johnson & Johnson Patient Assistance Foundation,pap,Johnson & Johnson,medicare|uninsured,400,https://www.jjpaf.org,provider_initiated,free drug for eligible patients,unverified,
merck-helps,Merck Patient Assistance Program,pap,Merck,medicare|uninsured,400,https://www.merckhelps.com,provider_initiated,free drug for eligible patients,unverified,
pan-hf,PAN Foundation Heart Failure Fund,foundation,PAN Foundation,medicare,500,https://www.panfoundation.org,online,copay assistance grant when fund is open,unverified,
healthwell-cv,HealthWell Foundation Cardiovascular Fund,foundation,HealthWell Foundation,medicare,500,https://www.healthwellfoundation.org,online,copay assistance grant when fund is open,unverified,
lis-extrahelp,Medicare Part D Extra Help (LIS),government,Social Security Administration,medicare,150,https://www.ssa.gov/medicare/part-d-extra-help,online,capped drug copays; durable benefit not tied to one drug,open,
costplus,Mark Cuban Cost Plus Drugs,discount_cash,Cost Plus Drugs,commercial|medicare|medicaid|uninsured,,https://costplusdrugs.com,online,transparent cash price often below insurance copay for generics,open,
goodrx,GoodRx Discount,discount_cash,GoodRx,commercial|medicare|medicaid|uninsured,,https://www.goodrx.com,pharmacy,cash discount at retail pharmacies; cannot combine with insurance,open,
